Entity,Code,Year,Annual change in population,Annual population change (Projected)
Africa (UN),UN_AFR,1989,16971485,
Africa (UN),UN_AFR,1990,17416157,
Africa (UN),UN_AFR,1991,17328472,
Africa (UN),UN_AFR,1992,17454309,
Africa (UN),UN_AFR,1993,18063671,
Africa (UN),UN_AFR,1994,17880898,
Africa (UN),UN_AFR,1995,18192764,
Africa (UN),UN_AFR,1996,18778340,
Africa (UN),UN_AFR,1997,18910919,
Africa (UN),UN_AFR,1998,19597044,
Africa (UN),UN_AFR,1999,20098103,
Africa (UN),UN_AFR,2000,20502971,
Africa (UN),UN_AFR,2001,21107563,
Africa (UN),UN_AFR,2002,21720973,
Africa (UN),UN_AFR,2003,22323166,
Africa (UN),UN_AFR,2004,23043986,
Africa (UN),UN_AFR,2005,23768171,
Africa (UN),UN_AFR,2006,24385755,
Africa (UN),UN_AFR,2007,25123463,
Africa (UN),UN_AFR,2008,26009677,
Africa (UN),UN_AFR,2009,26712251,
Africa (UN),UN_AFR,2010,27438963,
Africa (UN),UN_AFR,2011,27932110,
Africa (UN),UN_AFR,2012,28694854,
Africa (UN),UN_AFR,2013,29936835,
Africa (UN),UN_AFR,2014,30440049,
Africa (UN),UN_AFR,2015,30855149,
Africa (UN),UN_AFR,2016,31132971,
Africa (UN),UN_AFR,2017,31693651,
Africa (UN),UN_AFR,2018,32507659,
Africa (UN),UN_AFR,2019,32595722,
Africa (UN),UN_AFR,2020,32815675,
Africa (UN),UN_AFR,2021,32931877,
Africa (UN),UN_AFR,2022,33130604,
Africa (UN),UN_AFR,2023,33886868,
Africa (UN),UN_AFR,2024,,34370332
Africa (UN),UN_AFR,2025,,34726725
Africa (UN),UN_AFR,2026,,35117683
Africa (UN),UN_AFR,2027,,35276809
Africa (UN),UN_AFR,2028,,35415411
Africa (UN),UN_AFR,2029,,35649548
Africa (UN),UN_AFR,2030,,35886436
Africa (UN),UN_AFR,2031,,36127863
Africa (UN),UN_AFR,2032,,36336529
Africa (UN),UN_AFR,2033,,36487317
Africa (UN),UN_AFR,2034,,36683398
Africa (UN),UN_AFR,2035,,36896614
Africa (UN),UN_AFR,2036,,37034381
Africa (UN),UN_AFR,2037,,37109262
Africa (UN),UN_AFR,2038,,37180065
Africa (UN),UN_AFR,2039,,37257108
Africa (UN),UN_AFR,2040,,37327382
Africa (UN),UN_AFR,2041,,37357886
Africa (UN),UN_AFR,2042,,37351219
Africa (UN),UN_AFR,2043,,37350953
Africa (UN),UN_AFR,2044,,37319919
Africa (UN),UN_AFR,2045,,37208357
Africa (UN),UN_AFR,2046,,37094489
Africa (UN),UN_AFR,2047,,37031646
Africa (UN),UN_AFR,2048,,36933438
Africa (UN),UN_AFR,2049,,36762974
Africa (UN),UN_AFR,2050,,36583358
Africa (UN),UN_AFR,2051,,36474896
Africa (UN),UN_AFR,2052,,36328857
Africa (UN),UN_AFR,2053,,36071409
Africa (UN),UN_AFR,2054,,35857675
Africa (UN),UN_AFR,2055,,35671513
Africa (UN),UN_AFR,2056,,35430504
Africa (UN),UN_AFR,2057,,35124893
Africa (UN),UN_AFR,2058,,34833031
Africa (UN),UN_AFR,2059,,34655729
Africa (UN),UN_AFR,2060,,34400960
Africa (UN),UN_AFR,2061,,34086445
Africa (UN),UN_AFR,2062,,33730975
Africa (UN),UN_AFR,2063,,33306438
Africa (UN),UN_AFR,2064,,32969773
Africa (UN),UN_AFR,2065,,32620148
Africa (UN),UN_AFR,2066,,32220627
Africa (UN),UN_AFR,2067,,31844620
Africa (UN),UN_AFR,2068,,31415085
Africa (UN),UN_AFR,2069,,30968422
Africa (UN),UN_AFR,2070,,30555678
Africa (UN),UN_AFR,2071,,30137805
Africa (UN),UN_AFR,2072,,29715375
Africa (UN),UN_AFR,2073,,29220176
Africa (UN),UN_AFR,2074,,28745723
Africa (UN),UN_AFR,2075,,28277886
Africa (UN),UN_AFR,2076,,27719741
Africa (UN),UN_AFR,2077,,27229899
Africa (UN),UN_AFR,2078,,26757705
Africa (UN),UN_AFR,2079,,26145898
Africa (UN),UN_AFR,2080,,25535133
Africa (UN),UN_AFR,2081,,24954131
Africa (UN),UN_AFR,2082,,24412831
Africa (UN),UN_AFR,2083,,23906172
Africa (UN),UN_AFR,2084,,23314250
Africa (UN),UN_AFR,2085,,22759820
Africa (UN),UN_AFR,2086,,22274875
Africa (UN),UN_AFR,2087,,21640202
Africa (UN),UN_AFR,2088,,20917041
Africa (UN),UN_AFR,2089,,20347560
Africa (UN),UN_AFR,2090,,19818103
Africa (UN),UN_AFR,2091,,19158120
Africa (UN),UN_AFR,2092,,18498144
Africa (UN),UN_AFR,2093,,17905709
Africa (UN),UN_AFR,2094,,17323726
Africa (UN),UN_AFR,2095,,16730038
Africa (UN),UN_AFR,2096,,16191257
Africa (UN),UN_AFR,2097,,15629830
Africa (UN),UN_AFR,2098,,15035870
Africa (UN),UN_AFR,2099,,14453167
Africa (UN),UN_AFR,2100,,13912118
Albania,ALB,1951,28511,
Albania,ALB,1952,32003,
Albania,ALB,1953,35213,
Albania,ALB,1954,37507,
Albania,ALB,1955,37767,
Albania,ALB,1956,37968,
Albania,ALB,1957,41131,
Albania,ALB,1958,46028,
Albania,ALB,1959,51039,
Albania,ALB,1960,54372,
Albania,ALB,1961,49408,
Albania,ALB,1962,44938,
Albania,ALB,1963,47550,
Albania,ALB,1964,50156,
Albania,ALB,1965,52872,
Albania,ALB,1966,55732,
Albania,ALB,1967,58475,
Albania,ALB,1968,60324,
Albania,ALB,1969,58037,
Albania,ALB,1970,54341,
Albania,ALB,1971,53769,
Albania,ALB,1972,54270,
Albania,ALB,1973,54843,
Albania,ALB,1974,55289,
Albania,ALB,1975,55464,
Albania,ALB,1976,55718,
Albania,ALB,1977,56024,
Albania,ALB,1978,58017,
Albania,ALB,1979,56773,
Albania,ALB,1980,54031,
Albania,ALB,1981,54989,
Albania,ALB,1982,56497,
Albania,ALB,1983,58218,
Albania,ALB,1984,59833,
Albania,ALB,1985,61284,
Albania,ALB,1986,61413,
Albania,ALB,1987,61185,
Albania,ALB,1988,64081,
Albania,ALB,1989,47445,
Albania,ALB,1990,17596,
Albania,ALB,1991,4643,
Albania,ALB,1992,-102,
Albania,ALB,1993,-4675,
Albania,ALB,1994,-8414,
Albania,ALB,1995,-10844,
Albania,ALB,1996,-12893,
Albania,ALB,1997,-16015,
Albania,ALB,1998,-19531,
Albania,ALB,1999,-21536,
Albania,ALB,2000,-22451,
Albania,ALB,2001,-18204,
Albania,ALB,2002,-13848,
Albania,ALB,2003,-16002,
Albania,ALB,2004,-19431,
Albania,ALB,2005,-22506,
Albania,ALB,2006,-25351,
Albania,ALB,2007,-27918,
Albania,ALB,2008,-29954,
Albania,ALB,2009,-31446,
Albania,ALB,2010,-32756,
Albania,ALB,2011,-17232,
Albania,ALB,2012,-1496,
Albania,ALB,2013,-2432,
Albania,ALB,2014,-3823,
Albania,ALB,2015,-5114,
Albania,ALB,2016,-766,
Albania,ALB,2017,377,
Albania,ALB,2018,-4016,
Albania,ALB,2019,-9218,
Albania,ALB,2020,-13061,
Albania,ALB,2021,-22309,
Albania,ALB,2022,-22027,
Albania,ALB,2023,-15954,
Albania,ALB,2024,,-19904
Albania,ALB,2025,,-20249
Albania,ALB,2026,,-20482
Albania,ALB,2027,,-19803
Albania,ALB,2028,,-19557
Albania,ALB,2029,,-19756
Albania,ALB,2030,,-20027
Albania,ALB,2031,,-20003
Albania,ALB,2032,,-19716
Albania,ALB,2033,,-20114
Albania,ALB,2034,,-20736
Albania,ALB,2035,,-20726
Albania,ALB,2036,,-20899
Albania,ALB,2037,,-21452
Albania,ALB,2038,,-21641
Albania,ALB,2039,,-22227
Albania,ALB,2040,,-22503
Albania,ALB,2041,,-22338
Albania,ALB,2042,,-22262
Albania,ALB,2043,,-22098
Albania,ALB,2044,,-21904
Albania,ALB,2045,,-21981
Albania,ALB,2046,,-22333
Albania,ALB,2047,,-22077
Albania,ALB,2048,,-22029
Albania,ALB,2049,,-22292
Albania,ALB,2050,,-22381
Albania,ALB,2051,,-22155
Albania,ALB,2052,,-22173
Albania,ALB,2053,,-22515
Albania,ALB,2054,,-22557
Albania,ALB,2055,,-22474
Albania,ALB,2056,,-22219
Albania,ALB,2057,,-22112
Albania,ALB,2058,,-22018
Albania,ALB,2059,,-21965
Albania,ALB,2060,,-21983
Albania,ALB,2061,,-21795
Albania,ALB,2062,,-21655
Albania,ALB,2063,,-21735
Albania,ALB,2064,,-21710
Albania,ALB,2065,,-21614
Albania,ALB,2066,,-21337
Albania,ALB,2067,,-21297
Albania,ALB,2068,,-21450
Albania,ALB,2069,,-21302
Albania,ALB,2070,,-21282
Albania,ALB,2071,,-21411
Albania,ALB,2072,,-21535
Albania,ALB,2073,,-21552
Albania,ALB,2074,,-21847
Albania,ALB,2075,,-22095
Albania,ALB,2076,,-21873
Albania,ALB,2077,,-21958
Albania,ALB,2078,,-22082
Albania,ALB,2079,,-21988
Albania,ALB,2080,,-22175
Albania,ALB,2081,,-22414
Albania,ALB,2082,,-22510
Albania,ALB,2083,,-22597
Albania,ALB,2084,,-22494
Albania,ALB,2085,,-22320
Albania,ALB,2086,,-22100
Albania,ALB,2087,,-21758
Albania,ALB,2088,,-21530
Albania,ALB,2089,,-21309
Albania,ALB,2090,,-20851
Albania,ALB,2091,,-20365
Albania,ALB,2092,,-19866
Albania,ALB,2093,,-19311
Albania,ALB,2094,,-18737
Albania,ALB,2095,,-18132
Albania,ALB,2096,,-17585
Albania,ALB,2097,,-17066
Albania,ALB,2098,,-16577
Albania,ALB,2099,,-16103
Albania,ALB,2100,,-15682
Algeria,DZA,1951,251447,
Algeria,DZA,1952,251342,
Algeria,DZA,1953,251432,
Algeria,DZA,1954,241749,
Algeria,DZA,1955,233036,
Algeria,DZA,1956,234754,
Algeria,DZA,1957,235320,
Algeria,DZA,1958,236138,
Algeria,DZA,1959,235980,
Algeria,DZA,1960,235309,
Algeria,DZA,1961,203947,
Algeria,DZA,1962,171891,
Algeria,DZA,1963,181353,
Algeria,DZA,1964,197686,
Algeria,DZA,1965,186172,
Algeria,DZA,1966,224089,
Algeria,DZA,1967,286047,
Algeria,DZA,1968,296500,
Algeria,DZA,1969,303344,
Algeria,DZA,1970,307763,
Algeria,DZA,1971,315215,
Algeria,DZA,1972,328138,
Algeria,DZA,1973,344075,
Algeria,DZA,1974,362358,
Algeria,DZA,1975,545095,
Algeria,DZA,1976,730568,
Algeria,DZA,1977,606817,
Algeria,DZA,1978,490989,
Algeria,DZA,1979,529678,
Algeria,DZA,1980,570520,
Algeria,DZA,1981,613533,
Algeria,DZA,1982,651645,
Algeria,DZA,1983,685767,
Algeria,DZA,1984,713849,
Algeria,DZA,1985,736573,
Algeria,DZA,1986,736959,
Algeria,DZA,1987,698126,
Algeria,DZA,1988,665911,
Algeria,DZA,1989,644950,
Algeria,DZA,1990,621327,
Algeria,DZA,1991,612122,
Algeria,DZA,1992,640633,
Algeria,DZA,1993,648472,
Algeria,DZA,1994,610235,
Algeria,DZA,1995,582917,
Algeria,DZA,1996,562851,
Algeria,DZA,1997,546254,
Algeria,DZA,1998,474836,
Algeria,DZA,1999,420225,
Algeria,DZA,2000,429534,
Algeria,DZA,2001,427332,
Algeria,DZA,2002,419606,
Algeria,DZA,2003,424981,
Algeria,DZA,2004,452473,
Algeria,DZA,2005,480972,
Algeria,DZA,2006,514247,
Algeria,DZA,2007,565915,
Algeria,DZA,2008,627543,
Algeria,DZA,2009,673479,
Algeria,DZA,2010,697795,
Algeria,DZA,2011,715137,
Algeria,DZA,2012,742791,
Algeria,DZA,2013,768011,
Algeria,DZA,2014,790859,
Algeria,DZA,2015,814493,
Algeria,DZA,2016,831191,
Algeria,DZA,2017,838583,
Algeria,DZA,2018,815731,
Algeria,DZA,2019,789518,
Algeria,DZA,2020,747543,
Algeria,DZA,2021,719005,
Algeria,DZA,2022,716292,
Algeria,DZA,2023,686831,
Algeria,DZA,2024,,650080
Algeria,DZA,2025,,621008
Algeria,DZA,2026,,593027
Algeria,DZA,2027,,565076
Algeria,DZA,2028,,542113
Algeria,DZA,2029,,519854
Algeria,DZA,2030,,498780
Algeria,DZA,2031,,483200
Algeria,DZA,2032,,476139
Algeria,DZA,2033,,470744
Algeria,DZA,2034,,463760
Algeria,DZA,2035,,468785
Algeria,DZA,2036,,469482
Algeria,DZA,2037,,466512
Algeria,DZA,2038,,469059
Algeria,DZA,2039,,474416
Algeria,DZA,2040,,477217
Algeria,DZA,2041,,478515
Algeria,DZA,2042,,482558
Algeria,DZA,2043,,485052
Algeria,DZA,2044,,486579
Algeria,DZA,2045,,483976
Algeria,DZA,2046,,477520
Algeria,DZA,2047,,466502
Algeria,DZA,2048,,456710
Algeria,DZA,2049,,445272
Algeria,DZA,2050,,429392
Algeria,DZA,2051,,410054
Algeria,DZA,2052,,381526
Algeria,DZA,2053,,357768
Algeria,DZA,2054,,339329
Algeria,DZA,2055,,314496
Algeria,DZA,2056,,293373
Algeria,DZA,2057,,267757
Algeria,DZA,2058,,241583
Algeria,DZA,2059,,221270
Algeria,DZA,2060,,197257
Algeria,DZA,2061,,173906
Algeria,DZA,2062,,161822
Algeria,DZA,2063,,149217
Algeria,DZA,2064,,136648
Algeria,DZA,2065,,128907
Algeria,DZA,2066,,117355
Algeria,DZA,2067,,109660
Algeria,DZA,2068,,103975
Algeria,DZA,2069,,99207
Algeria,DZA,2070,,88297
Algeria,DZA,2071,,90958
Algeria,DZA,2072,,101681
Algeria,DZA,2073,,98162
Algeria,DZA,2074,,96199
Algeria,DZA,2075,,96200
Algeria,DZA,2076,,88993
Algeria,DZA,2077,,83769
Algeria,DZA,2078,,82326
Algeria,DZA,2079,,78672
Algeria,DZA,2080,,74806
Algeria,DZA,2081,,64837
Algeria,DZA,2082,,55147
Algeria,DZA,2083,,51102
Algeria,DZA,2084,,48024
Algeria,DZA,2085,,44882
Algeria,DZA,2086,,40918
Algeria,DZA,2087,,31492
Algeria,DZA,2088,,20854
Algeria,DZA,2089,,7470
Algeria,DZA,2090,,20
Algeria,DZA,2091,,-9727
Algeria,DZA,2092,,-24643
Algeria,DZA,2093,,-28279
Algeria,DZA,2094,,-42561
Algeria,DZA,2095,,-58746
Algeria,DZA,2096,,-68888
Algeria,DZA,2097,,-80559
Algeria,DZA,2098,,-92911
Algeria,DZA,2099,,-106214
Algeria,DZA,2100,,-115415
American Samoa,ASM,1951,380,
American Samoa,ASM,1952,126,
American Samoa,ASM,1953,115,
American Samoa,ASM,1954,91,
American Samoa,ASM,1955,95,
American Samoa,ASM,1956,83,
American Samoa,ASM,1957,23,
American Samoa,ASM,1958,-33,
American Samoa,ASM,1959,-19,
American Samoa,ASM,1960,228,
American Samoa,ASM,1961,527,
American Samoa,ASM,1962,631,
American Samoa,ASM,1963,675,
American Samoa,ASM,1964,700,
American Samoa,ASM,1965,737,
American Samoa,ASM,1966,728,
American Samoa,ASM,1967,734,
American Samoa,ASM,1968,738,
American Samoa,ASM,1969,764,
American Samoa,ASM,1970,659,
American Samoa,ASM,1971,504,
American Samoa,ASM,1972,463,
American Samoa,ASM,1973,446,
American Samoa,ASM,1974,431,
American Samoa,ASM,1975,511,
American Samoa,ASM,1976,574,
American Samoa,ASM,1977,562,
American Samoa,ASM,1978,555,
American Samoa,ASM,1979,534,
American Samoa,ASM,1980,795,
American Samoa,ASM,1981,1179,
American Samoa,ASM,1982,1331,
American Samoa,ASM,1983,1354,
American Samoa,ASM,1984,1399,
American Samoa,ASM,1985,1438,
American Samoa,ASM,1986,1460,
American Samoa,ASM,1987,1507,
American Samoa,ASM,1988,1539,
American Samoa,ASM,1989,1573,
American Samoa,ASM,1990,1452,
American Samoa,ASM,1991,1244,
American Samoa,ASM,1992,1151,
American Samoa,ASM,1993,1124,
American Samoa,ASM,1994,1095,
American Samoa,ASM,1995,1066,
American Samoa,ASM,1996,1039,
American Samoa,ASM,1997,1007,
American Samoa,ASM,1998,969,
American Samoa,ASM,1999,913,
American Samoa,ASM,2000,610,
American Samoa,ASM,2001,195,
American Samoa,ASM,2002,9,
American Samoa,ASM,2003,-93,
American Samoa,ASM,2004,-147,
American Samoa,ASM,2005,-203,
American Samoa,ASM,2006,-247,
American Samoa,ASM,2007,-257,
American Samoa,ASM,2008,-286,
American Samoa,ASM,2009,-306,
American Samoa,ASM,2010,-296,
American Samoa,ASM,2011,-329,
American Samoa,ASM,2012,-411,
American Samoa,ASM,2013,-480,
American Samoa,ASM,2014,-537,
American Samoa,ASM,2015,-593,
American Samoa,ASM,2016,-636,
American Samoa,ASM,2017,-655,
American Samoa,ASM,2018,-678,
American Samoa,ASM,2019,-697,
American Samoa,ASM,2020,-451,
American Samoa,ASM,2021,-530,
American Samoa,ASM,2022,-884,
American Samoa,ASM,2023,-821,
American Samoa,ASM,2024,,-752
American Samoa,ASM,2025,,-739
American Samoa,ASM,2026,,-711
American Samoa,ASM,2027,,-665
American Samoa,ASM,2028,,-595
American Samoa,ASM,2029,,-571
American Samoa,ASM,2030,,-530
American Samoa,ASM,2031,,-482
American Samoa,ASM,2032,,-454
American Samoa,ASM,2033,,-428
American Samoa,ASM,2034,,-387
American Samoa,ASM,2035,,-367
American Samoa,ASM,2036,,-333
American Samoa,ASM,2037,,-302
American Samoa,ASM,2038,,-281
American Samoa,ASM,2039,,-270
American Samoa,ASM,2040,,-270
American Samoa,ASM,2041,,-237
American Samoa,ASM,2042,,-213
American Samoa,ASM,2043,,-196
American Samoa,ASM,2044,,-189
American Samoa,ASM,2045,,-179
American Samoa,ASM,2046,,-162
American Samoa,ASM,2047,,-181
American Samoa,ASM,2048,,-160
American Samoa,ASM,2049,,-164
American Samoa,ASM,2050,,-156
American Samoa,ASM,2051,,-159
American Samoa,ASM,2052,,-166
American Samoa,ASM,2053,,-175
American Samoa,ASM,2054,,-176
American Samoa,ASM,2055,,-185
American Samoa,ASM,2056,,-196
American Samoa,ASM,2057,,-191
American Samoa,ASM,2058,,-196
American Samoa,ASM,2059,,-184
American Samoa,ASM,2060,,-182
American Samoa,ASM,2061,,-169
American Samoa,ASM,2062,,-172
American Samoa,ASM,2063,,-164
American Samoa,ASM,2064,,-152
American Samoa,ASM,2065,,-137
American Samoa,ASM,2066,,-134
American Samoa,ASM,2067,,-119
American Samoa,ASM,2068,,-108
American Samoa,ASM,2069,,-88
American Samoa,ASM,2070,,-83
American Samoa,ASM,2071,,-70
American Samoa,ASM,2072,,-69
American Samoa,ASM,2073,,-56
American Samoa,ASM,2074,,-49
American Samoa,ASM,2075,,-34
American Samoa,ASM,2076,,-36
American Samoa,ASM,2077,,-35
American Samoa,ASM,2078,,-32
American Samoa,ASM,2079,,-19
American Samoa,ASM,2080,,-31
American Samoa,ASM,2081,,-30
American Samoa,ASM,2082,,-27
American Samoa,ASM,2083,,-30
American Samoa,ASM,2084,,-40
American Samoa,ASM,2085,,-43
American Samoa,ASM,2086,,-49
American Samoa,ASM,2087,,-51
American Samoa,ASM,2088,,-59
American Samoa,ASM,2089,,-61
American Samoa,ASM,2090,,-74
American Samoa,ASM,2091,,-88
American Samoa,ASM,2092,,-100
American Samoa,ASM,2093,,-103
American Samoa,ASM,2094,,-115
American Samoa,ASM,2095,,-121
American Samoa,ASM,2096,,-127
American Samoa,ASM,2097,,-138
American Samoa,ASM,2098,,-147
American Samoa,ASM,2099,,-145
American Samoa,ASM,2100,,-139
Americas (UN),,1951,7017783,
Americas (UN),,1952,7277588,
Americas (UN),,1953,7512742,
Americas (UN),,1954,7777482,
Americas (UN),,1955,8030185,
Americas (UN),,1956,8284887,
Americas (UN),,1957,8556917,
Americas (UN),,1958,8743271,
Americas (UN),,1959,9084688,
Americas (UN),,1960,9443484,
Americas (UN),,1961,9705219,
Americas (UN),,1962,9892494,
Americas (UN),,1963,9909223,
Americas (UN),,1964,9936141,
Americas (UN),,1965,9879578,
Americas (UN),,1966,9737352,
Americas (UN),,1967,9609476,
Americas (UN),,1968,9508212,
Americas (UN),,1969,9519262,
Americas (UN),,1970,9863041,
Americas (UN),,1971,10122726,
Americas (UN),,1972,9900782,
Americas (UN),,1973,9695432,
Americas (UN),,1974,9716137,
Americas (UN),,1975,9781260,
Americas (UN),,1976,9824503,
Americas (UN),,1977,9971950,
Americas (UN),,1978,10138610,
Americas (UN),,1979,10277160,
Americas (UN),,1980,10486478,
Americas (UN),,1981,10572419,
Americas (UN),,1982,10639196,
Americas (UN),,1983,10781278,
Americas (UN),,1984,10818882,
Americas (UN),,1985,10790965,
Americas (UN),,1986,10724218,
