Entity,Code,Year,Deaths,Projected deaths (Projected),Births,Projected births (Projected)
Africa,OWID_AFR,1975,,,19470852,
Africa,OWID_AFR,1976,,,19981736,
Africa,OWID_AFR,1977,,,20487984,
Africa,OWID_AFR,1978,,,21011128,
Africa,OWID_AFR,1979,,,21594848,
Africa,OWID_AFR,1980,,,22147412,
Africa,OWID_AFR,1981,,,22671012,
Africa,OWID_AFR,1982,,,23252352,
Africa,OWID_AFR,1983,,,23844238,
Africa,OWID_AFR,1984,,,24297284,
Africa,OWID_AFR,1985,,,24799356,
Africa,OWID_AFR,1986,,,25239636,
Africa,OWID_AFR,1987,,,25703608,
Africa,OWID_AFR,1988,,,26160238,
Africa,OWID_AFR,1989,,,26578982,
Africa,OWID_AFR,1990,,,26976262,
Africa,OWID_AFR,1991,,,27439938,
Africa,OWID_AFR,1992,,,27877530,
Africa,OWID_AFR,1993,,,28335128,
Africa,OWID_AFR,1994,,,28691062,
Africa,OWID_AFR,1995,,,29313900,
Africa,OWID_AFR,1996,,,29818448,
Africa,OWID_AFR,1997,,,30291168,
Africa,OWID_AFR,1998,,,30814150,
Africa,OWID_AFR,1999,,,31496720,
Africa,OWID_AFR,2000,,,32143688,
Africa,OWID_AFR,2001,,,32800660,
Africa,OWID_AFR,2002,,,33429436,
Africa,OWID_AFR,2003,,,34151616,
Africa,OWID_AFR,2004,,,34934444,
Africa,OWID_AFR,2005,,,35797200,
Africa,OWID_AFR,2006,,,36586360,
Africa,OWID_AFR,2007,,,37349336,
Africa,OWID_AFR,2008,,,38214796,
Africa,OWID_AFR,2009,,,38927760,
Africa,OWID_AFR,2010,,,39678810,
Africa,OWID_AFR,2011,,,40349868,
Africa,OWID_AFR,2012,,,40994880,
Africa,OWID_AFR,2013,,,41577844,
Africa,OWID_AFR,2014,,,42186172,
Africa,OWID_AFR,2015,,,42650260,
Africa,OWID_AFR,2016,,,42947744,
Africa,OWID_AFR,2017,,,43391504,
Africa,OWID_AFR,2018,,,43614588,
Africa,OWID_AFR,2019,,,43953160,
Africa,OWID_AFR,2020,,,44359050,
Africa,OWID_AFR,2021,,,44875710,
Africa,OWID_AFR,2022,,,45449884,
Africa,OWID_AFR,2023,,,46042576,
Africa,OWID_AFR,2024,,,,46598004
Africa,OWID_AFR,2025,,,,47056132
Africa,OWID_AFR,2026,,,,47536760
Africa,OWID_AFR,2027,,,,47992384
Africa,OWID_AFR,2028,,,,48462560
Africa,OWID_AFR,2029,,,,48936468
Africa,OWID_AFR,2030,,,,49361920
Africa,OWID_AFR,2031,,,,49798450
Africa,OWID_AFR,2032,,,,50196548
Africa,OWID_AFR,2033,,,,50604140
Africa,OWID_AFR,2034,,,,51002880
Africa,OWID_AFR,2035,,,,51364536
Africa,OWID_AFR,2036,,,,51738044
Africa,OWID_AFR,2037,,,,52043696
Africa,OWID_AFR,2038,,,,52407236
Africa,OWID_AFR,2039,,,,52751844
Africa,OWID_AFR,2040,,,,53075410
Africa,OWID_AFR,2041,,,,53351080
Africa,OWID_AFR,2042,,,,53634150
Africa,OWID_AFR,2043,,,,53901052
Africa,OWID_AFR,2044,,,,54139536
Africa,OWID_AFR,2045,,,,54327716
Africa,OWID_AFR,2046,,,,54550640
Africa,OWID_AFR,2047,,,,54733200
Africa,OWID_AFR,2048,,,,54912532
Africa,OWID_AFR,2049,,,,55069800
Africa,OWID_AFR,2050,,,,55223370
Africa,OWID_AFR,2051,,,,55374010
Africa,OWID_AFR,2052,,,,55529724
Africa,OWID_AFR,2053,,,,55643984
Africa,OWID_AFR,2054,,,,55748332
Africa,OWID_AFR,2055,,,,55850784
Africa,OWID_AFR,2056,,,,55945930
Africa,OWID_AFR,2057,,,,56040040
Africa,OWID_AFR,2058,,,,56143290
Africa,OWID_AFR,2059,,,,56227680
Africa,OWID_AFR,2060,,,,56298612
Africa,OWID_AFR,2061,,,,56359770
Africa,OWID_AFR,2062,,,,56402800
Africa,OWID_AFR,2063,,,,56424590
Africa,OWID_AFR,2064,,,,56442852
Africa,OWID_AFR,2065,,,,56461484
Africa,OWID_AFR,2066,,,,56487310
Africa,OWID_AFR,2067,,,,56498996
Africa,OWID_AFR,2068,,,,56495336
Africa,OWID_AFR,2069,,,,56479556
Africa,OWID_AFR,2070,,,,56448830
Africa,OWID_AFR,2071,,,,56423668
Africa,OWID_AFR,2072,,,,56381292
Africa,OWID_AFR,2073,,,,56336136
Africa,OWID_AFR,2074,,,,56265976
Africa,OWID_AFR,2075,,,,56194430
Africa,OWID_AFR,2076,,,,56122980
Africa,OWID_AFR,2077,,,,56036070
Africa,OWID_AFR,2078,,,,55934536
Africa,OWID_AFR,2079,,,,55837004
Africa,OWID_AFR,2080,,,,55728092
Africa,OWID_AFR,2081,,,,55621260
Africa,OWID_AFR,2082,,,,55538870
Africa,OWID_AFR,2083,,,,55422730
Africa,OWID_AFR,2084,,,,55315576
Africa,OWID_AFR,2085,,,,55187224
Africa,OWID_AFR,2086,,,,55050230
Africa,OWID_AFR,2087,,,,54916350
Africa,OWID_AFR,2088,,,,54785544
Africa,OWID_AFR,2089,,,,54637380
Africa,OWID_AFR,2090,,,,54477890
Africa,OWID_AFR,2091,,,,54332776
Africa,OWID_AFR,2092,,,,54165348
Africa,OWID_AFR,2093,,,,54008350
Africa,OWID_AFR,2094,,,,53851960
Africa,OWID_AFR,2095,,,,53677020
Africa,OWID_AFR,2096,,,,53506784
Africa,OWID_AFR,2097,,,,53333440
Africa,OWID_AFR,2098,,,,53163736
Africa,OWID_AFR,2099,,,,52975824
Africa,OWID_AFR,2100,,,,52794736
Africa (UN),UN_AFR,1950,6126234,,10878554,
Africa (UN),UN_AFR,1951,6140469,,11138514,
Africa (UN),UN_AFR,1952,6171304,,11398576,
Africa (UN),UN_AFR,1953,6206318,,11669182,
Africa (UN),UN_AFR,1954,6262981,,11924006,
Africa (UN),UN_AFR,1955,6300616,,12185523,
Africa (UN),UN_AFR,1956,6344589,,12452577,
Africa (UN),UN_AFR,1957,6518358,,12725154,
Africa (UN),UN_AFR,1958,6566752,,12997768,
Africa (UN),UN_AFR,1959,6479078,,13271430,
Africa (UN),UN_AFR,1960,6576155,,13574664,
Africa (UN),UN_AFR,1961,6638545,,13890988,
Africa (UN),UN_AFR,1962,6693550,,14224917,
Africa (UN),UN_AFR,1963,6748792,,14549409,
Africa (UN),UN_AFR,1964,6820527,,14873520,
Africa (UN),UN_AFR,1965,6917683,,15200798,
Africa (UN),UN_AFR,1966,7059458,,15573967,
Africa (UN),UN_AFR,1967,7143662,,15945665,
Africa (UN),UN_AFR,1968,7186998,,16330533,
Africa (UN),UN_AFR,1969,7296154,,16733078,
Africa (UN),UN_AFR,1970,7353888,,17149970,
Africa (UN),UN_AFR,1971,7427383,,17599818,
Africa (UN),UN_AFR,1972,7587304,,18030480,
Africa (UN),UN_AFR,1973,7596368,,18462562,
Africa (UN),UN_AFR,1974,7713755,,18959740,
Africa (UN),UN_AFR,1975,7797268,,19476174,
Africa (UN),UN_AFR,1976,7778881,,19987208,
Africa (UN),UN_AFR,1977,7837668,,20493576,
Africa (UN),UN_AFR,1978,7917659,,21016840,
Africa (UN),UN_AFR,1979,7977427,,21600688,
Africa (UN),UN_AFR,1980,8052483,,22153362,
Africa (UN),UN_AFR,1981,8125312,,22677100,
Africa (UN),UN_AFR,1982,8217685,,23258568,
Africa (UN),UN_AFR,1983,8692214,,23852382,
Africa (UN),UN_AFR,1984,8826345,,24307372,
Africa (UN),UN_AFR,1985,8903764,,24811278,
Africa (UN),UN_AFR,1986,8946588,,25251254,
Africa (UN),UN_AFR,1987,8908524,,25715324,
Africa (UN),UN_AFR,1988,9211375,,26172014,
Africa (UN),UN_AFR,1989,9141661,,26590804,
Africa (UN),UN_AFR,1990,9359208,,26988120,
Africa (UN),UN_AFR,1991,9648085,,27451826,
Africa (UN),UN_AFR,1992,9871122,,27889412,
Africa (UN),UN_AFR,1993,9899657,,28346968,
Africa (UN),UN_AFR,1994,10818954,,28708448,
Africa (UN),UN_AFR,1995,10114749,,29327240,
Africa (UN),UN_AFR,1996,10321538,,29829716,
Africa (UN),UN_AFR,1997,10443464,,30300012,
Africa (UN),UN_AFR,1998,10742354,,30826048,
Africa (UN),UN_AFR,1999,10676214,,31510804,
Africa (UN),UN_AFR,2000,10651154,,32158304,
Africa (UN),UN_AFR,2001,10738954,,32815218,
Africa (UN),UN_AFR,2002,10804551,,33443532,
Africa (UN),UN_AFR,2003,10843665,,34164896,
Africa (UN),UN_AFR,2004,10861010,,34946956,
Africa (UN),UN_AFR,2005,10883100,,35809370,
Africa (UN),UN_AFR,2006,10847489,,36596956,
Africa (UN),UN_AFR,2007,10804674,,37359280,
Africa (UN),UN_AFR,2008,10781947,,38223064,
Africa (UN),UN_AFR,2009,11007540,,38935470,
Africa (UN),UN_AFR,2010,10752995,,39685492,
Africa (UN),UN_AFR,2011,10943361,,40356070,
Africa (UN),UN_AFR,2012,10742252,,41002060,
Africa (UN),UN_AFR,2013,10760333,,41586184,
Africa (UN),UN_AFR,2014,10926822,,42195588,
Africa (UN),UN_AFR,2015,10984982,,42660670,
Africa (UN),UN_AFR,2016,11040754,,42958896,
Africa (UN),UN_AFR,2017,11130820,,43403064,
Africa (UN),UN_AFR,2018,11010347,,43626296,
Africa (UN),UN_AFR,2019,11121028,,43965812,
Africa (UN),UN_AFR,2020,11532418,,44373656,
Africa (UN),UN_AFR,2021,12097038,,44892536,
Africa (UN),UN_AFR,2022,11628157,,45469230,
Africa (UN),UN_AFR,2023,11340841,,46063890,
Africa (UN),UN_AFR,2024,,11522895,,46621056
Africa (UN),UN_AFR,2025,,11702869,,47080236
Africa (UN),UN_AFR,2026,,11885985,,47561904
Africa (UN),UN_AFR,2027,,12077701,,48018490
Africa (UN),UN_AFR,2028,,12275702,,48489424
Africa (UN),UN_AFR,2029,,12480198,,48963910
Africa (UN),UN_AFR,2030,,12689275,,49389696
Africa (UN),UN_AFR,2031,,12902668,,49826344
Africa (UN),UN_AFR,2032,,13118656,,50224370
Africa (UN),UN_AFR,2033,,13338660,,50631764
Africa (UN),UN_AFR,2034,,13564134,,51030396
Africa (UN),UN_AFR,2035,,13795938,,51392190
Africa (UN),UN_AFR,2036,,14033817,,51766212
Africa (UN),UN_AFR,2037,,14271799,,52072836
Africa (UN),UN_AFR,2038,,14516069,,52437668
Africa (UN),UN_AFR,2039,,14765908,,52783788
Africa (UN),UN_AFR,2040,,15020147,,53108812
Africa (UN),UN_AFR,2041,,15280016,,53385652
Africa (UN),UN_AFR,2042,,15540910,,53669530
Africa (UN),UN_AFR,2043,,15811042,,53936984
Africa (UN),UN_AFR,2044,,16089278,,54175750
Africa (UN),UN_AFR,2045,,16367319,,54364216
Africa (UN),UN_AFR,2046,,16655864,,54587404
Africa (UN),UN_AFR,2047,,16943132,,54770230
Africa (UN),UN_AFR,2048,,17237904,,54949892
Africa (UN),UN_AFR,2049,,17539576,,55107480
Africa (UN),UN_AFR,2050,,17847368,,55261304
Africa (UN),UN_AFR,2051,,18158792,,55412092
Africa (UN),UN_AFR,2052,,18478712,,55567856
Africa (UN),UN_AFR,2053,,18804028,,55682068
Africa (UN),UN_AFR,2054,,19131486,,55786310
Africa (UN),UN_AFR,2055,,19467236,,55888612
Africa (UN),UN_AFR,2056,,19808518,,55983630
Africa (UN),UN_AFR,2057,,20160474,,56077656
Africa (UN),UN_AFR,2058,,20511564,,56180812
Africa (UN),UN_AFR,2059,,20867760,,56265170
Africa (UN),UN_AFR,2060,,21229364,,56336144
Africa (UN),UN_AFR,2061,,21597136,,56397412
Africa (UN),UN_AFR,2062,,21974248,,56440560
Africa (UN),UN_AFR,2063,,22356562,,56462564
Africa (UN),UN_AFR,2064,,22738236,,56481064
Africa (UN),UN_AFR,2065,,23124668,,56499976
Africa (UN),UN_AFR,2066,,23523268,,56526180
Africa (UN),UN_AFR,2067,,23918856,,56538320
Africa (UN),UN_AFR,2068,,24319800,,56535036
Africa (UN),UN_AFR,2069,,24727760,,56519690
Africa (UN),UN_AFR,2070,,25140496,,56489320
Africa (UN),UN_AFR,2071,,25552916,,56464508
Africa (UN),UN_AFR,2072,,25974080,,56422504
Africa (UN),UN_AFR,2073,,26400368,,56377610
Africa (UN),UN_AFR,2074,,26832748,,56307690
Africa (UN),UN_AFR,2075,,27264814,,56236270
Africa (UN),UN_AFR,2076,,27701952,,56164936
Africa (UN),UN_AFR,2077,,28148642,,56078150
Africa (UN),UN_AFR,2078,,28589672,,55976696
Africa (UN),UN_AFR,2079,,29037492,,55879230
Africa (UN),UN_AFR,2080,,29490736,,55770356
Africa (UN),UN_AFR,2081,,29944472,,55663536
Africa (UN),UN_AFR,2082,,30397960,,55581092
Africa (UN),UN_AFR,2083,,30850388,,55464856
Africa (UN),UN_AFR,2084,,31313432,,55357584
Africa (UN),UN_AFR,2085,,31776424,,55229110
Africa (UN),UN_AFR,2086,,32236608,,55092004
Africa (UN),UN_AFR,2087,,32693556,,54958044
Africa (UN),UN_AFR,2088,,33143450,,54827140
Africa (UN),UN_AFR,2089,,33594390,,54678970
Africa (UN),UN_AFR,2090,,34041124,,54519416
Africa (UN),UN_AFR,2091,,34484540,,54374316
Africa (UN),UN_AFR,2092,,34924884,,54206908
Africa (UN),UN_AFR,2093,,35364972,,54049916
Africa (UN),UN_AFR,2094,,35792348,,53893576
Africa (UN),UN_AFR,2095,,36216544,,53718692
Africa (UN),UN_AFR,2096,,36635452,,53548490
Africa (UN),UN_AFR,2097,,37050308,,53375190
Africa (UN),UN_AFR,2098,,37462716,,53205580
Africa (UN),UN_AFR,2099,,37857296,,53017710
Africa (UN),UN_AFR,2100,,38248508,,52836670
Albania,ALB,1950,29043,,49038,
Albania,ALB,1951,28978,,50620,
Albania,ALB,1952,28827,,52059,
Albania,ALB,1953,28918,,54672,
Albania,ALB,1954,29069,,57222,
Albania,ALB,1955,29082,,59468,
Albania,ALB,1956,28607,,60611,
Albania,ALB,1957,27791,,61585,
Albania,ALB,1958,27152,,63963,
Albania,ALB,1959,26650,,66222,
Albania,ALB,1960,26197,,67661,
Albania,ALB,1961,25646,,68432,
Albania,ALB,1962,24161,,68104,
Albania,ALB,1963,23053,,67809,
Albania,ALB,1964,22121,,66992,
Albania,ALB,1965,21358,,66005,
Albania,ALB,1966,20775,,66107,
Albania,ALB,1967,20433,,67941,
Albania,ALB,1968,20173,,70565,
Albania,ALB,1969,19894,,72414,
Albania,ALB,1970,19342,,72754,
Albania,ALB,1971,18919,,73875,
Albania,ALB,1972,18588,,74682,
Albania,ALB,1973,18315,,74894,
Albania,ALB,1974,18160,,75465,
Albania,ALB,1975,18072,,76181,
Albania,ALB,1976,18031,,75646,
Albania,ALB,1977,18056,,75564,
Albania,ALB,1978,18135,,74860,
Albania,ALB,1979,18405,,73862,
Albania,ALB,1980,18112,,73190,
Albania,ALB,1981,17994,,73879,
Albania,ALB,1982,17942,,75657,
Albania,ALB,1983,17932,,76817,
Albania,ALB,1984,17974,,78610,
Albania,ALB,1985,18034,,80086,
Albania,ALB,1986,17988,,81241,
Albania,ALB,1987,18015,,82687,
Albania,ALB,1988,18154,,84224,
Albania,ALB,1989,18341,,85355,
Albania,ALB,1990,18311,,85490,
Albania,ALB,1991,18140,,84095,
Albania,ALB,1992,17960,,82030,
Albania,ALB,1993,17748,,79305,
Albania,ALB,1994,17750,,77976,
Albania,ALB,1995,17755,,75805,
Albania,ALB,1996,17832,,71875,
Albania,ALB,1997,18866,,67055,
Albania,ALB,1998,17918,,62946,
Albania,ALB,1999,17874,,58947,
Albania,ALB,2000,17793,,55449,
Albania,ALB,2001,17710,,52243,
Albania,ALB,2002,17835,,48844,
Albania,ALB,2003,18013,,48693,
Albania,ALB,2004,17924,,45549,
Albania,ALB,2005,17729,,42642,
Albania,ALB,2006,17433,,39589,
Albania,ALB,2007,16958,,37603,
Albania,ALB,2008,16707,,36542,
Albania,ALB,2009,16943,,36502,
Albania,ALB,2010,17734,,36236,
Albania,ALB,2011,18518,,36120,
Albania,ALB,2012,19584,,37445,
Albania,ALB,2013,20412,,38198,
Albania,ALB,2014,21010,,37956,
Albania,ALB,2015,21000,,36033,
Albania,ALB,2016,21126,,34407,
Albania,ALB,2017,21372,,33086,
Albania,ALB,2018,21344,,31542,
Albania,ALB,2019,21559,,31033,
Albania,ALB,2020,26072,,30258,
Albania,ALB,2021,29245,,29955,
Albania,ALB,2022,24626,,29139,
Albania,ALB,2023,23427,,28803,
Albania,ALB,2024,,23607,,28283
Albania,ALB,2025,,23932,,27433
Albania,ALB,2026,,24237,,26604
Albania,ALB,2027,,24548,,25865
Albania,ALB,2028,,24856,,25115
Albania,ALB,2029,,25163,,24373
Albania,ALB,2030,,25497,,23617
Albania,ALB,2031,,25823,,22890
Albania,ALB,2032,,26129,,22177
Albania,ALB,2033,,26445,,21494
Albania,ALB,2034,,26765,,20791
Albania,ALB,2035,,27077,,20152
Albania,ALB,2036,,27391,,19555
Albania,ALB,2037,,27703,,18981
Albania,ALB,2038,,28046,,18487
Albania,ALB,2039,,28400,,18064
Albania,ALB,2040,,28700,,17703
Albania,ALB,2041,,29005,,17422
Albania,ALB,2042,,29320,,17197
Albania,ALB,2043,,29614,,17006
Albania,ALB,2044,,29852,,16829
Albania,ALB,2045,,30077,,16696
Albania,ALB,2046,,30280,,16573
Albania,ALB,2047,,30425,,16384
Albania,ALB,2048,,30552,,16192
Albania,ALB,2049,,30630,,15948
Albania,ALB,2050,,30645,,15660
Albania,ALB,2051,,30640,,15337
Albania,ALB,2052,,30591,,15026
Albania,ALB,2053,,30509,,14662
Albania,ALB,2054,,30414,,14301
Albania,ALB,2055,,30291,,13955
Albania,ALB,2056,,30158,,13619
Albania,ALB,2057,,29956,,13332
Albania,ALB,2058,,29778,,13059
Albania,ALB,2059,,29579,,12787
Albania,ALB,2060,,29415,,12504
Albania,ALB,2061,,29237,,12233
Albania,ALB,2062,,29100,,11987
Albania,ALB,2063,,28951,,11723
Albania,ALB,2064,,28844,,11490
Albania,ALB,2065,,28744,,11242
Albania,ALB,2066,,28692,,11018
Albania,ALB,2067,,28677,,10799
Albania,ALB,2068,,28705,,10585
Albania,ALB,2069,,28769,,10403
Albania,ALB,2070,,28881,,10223
Albania,ALB,2071,,28994,,10075
Albania,ALB,2072,,29144,,9923
Albania,ALB,2073,,29318,,9798
Albania,ALB,2074,,29510,,9705
Albania,ALB,2075,,29713,,9602
Albania,ALB,2076,,29940,,9539
Albania,ALB,2077,,30153,,9476
Albania,ALB,2078,,30332,,9414
Albania,ALB,2079,,30500,,9368
Albania,ALB,2080,,30616,,9304
Albania,ALB,2081,,30674,,9253
Albania,ALB,2082,,30694,,9161
Albania,ALB,2083,,30656,,9072
Albania,ALB,2084,,30533,,8970
Albania,ALB,2085,,30347,,8861
Albania,ALB,2086,,30092,,8768
Albania,ALB,2087,,29784,,8636
Albania,ALB,2088,,29417,,8510
Albania,ALB,2089,,28963,,8370
Albania,ALB,2090,,28439,,8233
Albania,ALB,2091,,27869,,8109
Albania,ALB,2092,,27262,,7989
Albania,ALB,2093,,26616,,7873
Albania,ALB,2094,,25997,,7749
Albania,ALB,2095,,25345,,7639
Albania,ALB,2096,,24731,,7531
Albania,ALB,2097,,24099,,7421
Albania,ALB,2098,,23529,,7334
Albania,ALB,2099,,22998,,7248
Albania,ALB,2100,,22511,,7147
Algeria,DZA,1950,203871,,456352,
Algeria,DZA,1951,207930,,466128,
Algeria,DZA,1952,212635,,475687,
Algeria,DZA,1953,216943,,486150,
Algeria,DZA,1954,242855,,497370,
Algeria,DZA,1955,245923,,508524,
Algeria,DZA,1956,250408,,519035,
Algeria,DZA,1957,255012,,529482,
Algeria,DZA,1958,259919,,541079,
Algeria,DZA,1959,264529,,549569,
